,SegmentDescription,Answer,Count
464,Saginaw Valley State University,None,0
465,University of Michigan,Facebook,12
466,University of Michigan,Instagram,16
467,University of Michigan,Snapchat,1
468,University of Michigan,Twitter,2
469,University of Michigan,None,21
470,Boise State University,Facebook,0
471,Boise State University,Instagram,1
472,Boise State University,Snapchat,0
473,Boise State University,Twitter,0
474,Boise State University,None,0
475,Cornell University,Facebook,35
476,Cornell University,Instagram,44
477,Cornell University,Snapchat,4
478,Cornell University,Twitter,1
479,Cornell University,None,38
480,University of New Hampshire,Facebook,3
481,University of New Hampshire,Instagram,2
482,University of New Hampshire,Snapchat,0
483,University of New Hampshire,Twitter,1
484,University of New Hampshire,None,1
485,UMass Dartmouth,Facebook,0
486,UMass Dartmouth,Instagram,0
487,UMass Dartmouth,Snapchat,0
488,UMass Dartmouth,Twitter,0
489,UMass Dartmouth,None,2
490,High Point University,Facebook,0
491,High Point University,Instagram,0
492,High Point University,Snapchat,0
493,High Point University,Twitter,0
494,High Point University,None,2
495,University of Minnesota,Facebook,0
496,University of Minnesota,Instagram,2
497,University of Minnesota,Snapchat,0
498,University of Minnesota,Twitter,0
499,University of Minnesota,None,2
500,Claremont McKenna College,Facebook,14
501,Claremont McKenna College,Instagram,32
502,Claremont McKenna College,Snapchat,1
503,Claremont McKenna College,Twitter,5
504,Claremont McKenna College,None,23
505,University of Central Oklahoma,Facebook,0
506,University of Central Oklahoma,Instagram,2
507,University of Central Oklahoma,Snapchat,0
508,University of Central Oklahoma,Twitter,0
509,University of Central Oklahoma,None,0
510,Illinois State,Facebook,3
511,Illinois State,Instagram,1
512,Illinois State,Snapchat,1
513,Illinois State,Twitter,0
514,Illinois State,None,7
515,University of Guelph,Facebook,0
516,University of Guelph,Instagram,1
517,University of Guelph,Snapchat,0
518,University of Guelph,Twitter,0
519,University of Guelph,None,0
520,Queens University,Facebook,0
521,Queens University,Instagram,1
522,Queens University,Snapchat,0
523,Queens University,Twitter,0
524,Queens University,None,1
525,University of Colorado Boulder,Facebook,1
526,University of Colorado Boulder,Instagram,0
527,University of Colorado Boulder,Snapchat,0
528,University of Colorado Boulder,Twitter,0
529,University of Colorado Boulder,None,2
530,University of Virginia,Facebook,64
531,University of Virginia,Instagram,75
532,University of Virginia,Snapchat,10
533,University of Virginia,Twitter,12
534,University of Virginia,None,95
535,Villanova University,Facebook,2
536,Villanova University,Instagram,0
537,Villanova University,Snapchat,0
538,Villanova University,Twitter,0
539,Villanova University,None,0
540,Centre College,Facebook,0
541,Centre College,Instagram,0
542,Centre College,Snapchat,0
543,Centre College,Twitter,0
544,Centre College,None,2
545,Johns Hopkins University,Facebook,3
546,Johns Hopkins University,Instagram,1
547,Johns Hopkins University,Snapchat,0
548,Johns Hopkins University,Twitter,1
549,Johns Hopkins University,None,7
550,University of Wisconsin-Madison,Facebook,26
551,University of Wisconsin-Madison,Instagram,35
552,University of Wisconsin-Madison,Snapchat,1
553,University of Wisconsin-Madison,Twitter,7
554,University of Wisconsin-Madison,None,34
555,Dartmouth College,Facebook,7
556,Dartmouth College,Instagram,1
557,Dartmouth College,Snapchat,0
558,Dartmouth College,Twitter,1
559,Dartmouth College,None,8
560,Purdue University,Facebook,1
561,Purdue University,Instagram,2
562,Purdue University,Snapchat,0
563,Purdue University,Twitter,1
564,Purdue University,None,13
565,San Diego State University,Facebook,24
566,San Diego State University,Instagram,84
567,San Diego State University,Snapchat,4
568,San Diego State University,Twitter,13
569,San Diego State University,None,44
570,Michigan State University,Facebook,1
571,Michigan State University,Instagram,0
572,Michigan State University,Snapchat,0
573,Michigan State University,Twitter,0
574,Michigan State University,None,1
575,Butler University,Facebook,9
576,Butler University,Instagram,13
577,Butler University,Snapchat,0
578,Butler University,Twitter,5
579,Butler University,None,6
580,Indiana University,Facebook,18
581,Indiana University,Instagram,24
582,Indiana University,Snapchat,4
583,Indiana University,Twitter,10
584,Indiana University,None,24
585,"University of California, Berkeley",Facebook,12
586,"University of California, Berkeley",Instagram,11
587,"University of California, Berkeley",Snapchat,1
588,"University of California, Berkeley",Twitter,1
589,"University of California, Berkeley",None,15
590,University of Missouri,Facebook,4
591,University of Missouri,Instagram,3
592,University of Missouri,Snapchat,0
593,University of Missouri,Twitter,4
594,University of Missouri,None,13
595,Texas Christian University,Facebook,5
596,Texas Christian University,Instagram,8
597,Texas Christian University,Snapchat,1
598,Texas Christian University,Twitter,3
599,Texas Christian University,None,6
600,Truman State University,Facebook,18
601,Truman State University,Instagram,15
602,Truman State University,Snapchat,1
603,Truman State University,Twitter,2
604,Truman State University,None,14
605,University of Illinois,Facebook,18
606,University of Illinois,Instagram,24
607,University of Illinois,Snapchat,3
608,University of Illinois,Twitter,7
609,University of Illinois,None,34
610,University of Washington,Facebook,12
611,University of Washington,Instagram,19
612,University of Washington,Snapchat,1
613,University of Washington,Twitter,2
614,University of Washington,None,15
615,University of North Carolina,Facebook,14
616,University of North Carolina,Instagram,16
617,University of North Carolina,Snapchat,2
618,University of North Carolina,Twitter,5
619,University of North Carolina,None,21
620,Miami University (Ohio),Facebook,4
621,Miami University (Ohio),Instagram,7
622,Miami University (Ohio),Snapchat,0
623,Miami University (Ohio),Twitter,2
624,Miami University (Ohio),None,5
625,"University of California, Los Angeles",Facebook,1
626,"University of California, Los Angeles",Instagram,0
627,"University of California, Los Angeles",Snapchat,0
628,"University of California, Los Angeles",Twitter,0
629,"University of California, Los Angeles",None,0
630,Wilfred Laurier University,Facebook,0
631,Wilfred Laurier University,Instagram,1
632,Wilfred Laurier University,Snapchat,0
633,Wilfred Laurier University,Twitter,0
634,Wilfred Laurier University,None,0
635,University of California Riverside,Facebook,0
636,University of California Riverside,Instagram,0
637,University of California Riverside,Snapchat,0
638,University of California Riverside,Twitter,0
639,University of California Riverside,None,1
640,University of Iowa,Facebook,0
641,University of Iowa,Instagram,0
642,University of Iowa,Snapchat,0
643,University of Iowa,Twitter,1
644,University of Iowa,None,0
645,University of California Irvine,Facebook,0
646,University of California Irvine,Instagram,1
647,University of California Irvine,Snapchat,0
648,University of California Irvine,Twitter,0
649,University of California Irvine,None,1
650,"University of California, Davis",Facebook,0
651,"University of California, Davis",Instagram,0
652,"University of California, Davis",Snapchat,0
653,"University of California, Davis",Twitter,0
654,"University of California, Davis",None,2
655,University of Waterloo,Facebook,0
656,University of Waterloo,Instagram,1
657,University of Waterloo,Snapchat,0
658,University of Waterloo,Twitter,0
659,University of Waterloo,None,1
660,Grand Valley State University,Facebook,0
661,Grand Valley State University,Instagram,0
662,Grand Valley State University,Snapchat,0
663,Grand Valley State University,Twitter,0
664,Grand Valley State University,None,1
665,Baylor University,Facebook,0
666,Baylor University,Instagram,0
667,Baylor University,Snapchat,0
668,Baylor University,Twitter,0
669,Baylor University,None,1
670,Southern Methodist University,Facebook,3
671,Southern Methodist University,Instagram,3
672,Southern Methodist University,Snapchat,1
673,Southern Methodist University,Twitter,0
674,Southern Methodist University,None,7
675,Blinn College,Facebook,1
676,Blinn College,Instagram,0
677,Blinn College,Snapchat,0
678,Blinn College,Twitter,0
679,Blinn College,None,0
680,Texas A&M University,Facebook,7
681,Texas A&M University,Instagram,11
682,Texas A&M University,Snapchat,4
683,Texas A&M University,Twitter,3
684,Texas A&M University,None,10
685,Wellesley College,Facebook,0
686,Wellesley College,Instagram,0
687,Wellesley College,Snapchat,0
688,Wellesley College,Twitter,0
689,Wellesley College,None,1
690,Central Washington University,Facebook,0
691,Central Washington University,Instagram,1
692,Central Washington University,Snapchat,0
693,Central Washington University,Twitter,0
694,Central Washington University,None,0
695,Stellenbosch University,Facebook,1
696,Stellenbosch University,Instagram,0
697,Stellenbosch University,Snapchat,0
698,Stellenbosch University,Twitter,0
699,Stellenbosch University,None,1
700,Universidad Nacional de Costa Rica,Facebook,0
701,Universidad Nacional de Costa Rica,Instagram,0
702,Universidad Nacional de Costa Rica,Snapchat,0
703,Universidad Nacional de Costa Rica,Twitter,0
704,Universidad Nacional de Costa Rica,None,1
705,Kennesaw State University,Facebook,0
706,Kennesaw State University,Instagram,1
707,Kennesaw State University,Snapchat,0
708,Kennesaw State University,Twitter,0
709,Kennesaw State University,None,0
710,Newcastle University,Facebook,0
711,Newcastle University,Instagram,1
712,Newcastle University,Snapchat,0
713,Newcastle University,Twitter,0
714,Newcastle University,None,0
715,University of West Georgia ,Facebook,1
716,University of West Georgia ,Instagram,0
717,University of West Georgia ,Snapchat,0
718,University of West Georgia ,Twitter,0
719,University of West Georgia ,None,0
720,Azusa Pacific University,Facebook,0
721,Azusa Pacific University,Instagram,1
722,Azusa Pacific University,Snapchat,0
723,Azusa Pacific University,Twitter,0
724,Azusa Pacific University,None,0
725,University of Connecticut,Facebook,1
726,University of Connecticut,Instagram,0
727,University of Connecticut,Snapchat,0
728,University of Connecticut,Twitter,0
729,University of Connecticut,None,0
730,Boston University,Facebook,0
731,Boston University,Instagram,1
732,Boston University,Snapchat,0
733,Boston University,Twitter,0
734,Boston University,None,0
735,Colorado State University,Facebook,0
736,Colorado State University,Instagram,0
737,Colorado State University,Snapchat,0
738,Colorado State University,Twitter,1
739,Colorado State University,None,0
740,Clemson University,Facebook,0
741,Clemson University,Instagram,1
742,Clemson University,Snapchat,0
743,Clemson University,Twitter,0
744,Clemson University,None,0
745,University of Rochester,Facebook,0
746,University of Rochester,Instagram,1
747,University of Rochester,Snapchat,0
748,University of Rochester,Twitter,0
749,University of Rochester,None,0
750,James Madison University,Facebook,0
751,James Madison University,Instagram,0
752,James Madison University,Snapchat,0
753,James Madison University,Twitter,0
754,James Madison University,None,1
755,Stephen F. Austin State University,Facebook,0
756,Stephen F. Austin State University,Instagram,0
757,Stephen F. Austin State University,Snapchat,0
758,Stephen F. Austin State University,Twitter,0
759,Stephen F. Austin State University,None,1
760,Loyola University Maryland,Facebook,0
761,Loyola University Maryland,Instagram,0
762,Loyola University Maryland,Snapchat,0
763,Loyola University Maryland,Twitter,0
764,Loyola University Maryland,None,1
765,Michigan Technological University,Facebook,1
766,Michigan Technological University,Instagram,0
767,Michigan Technological University,Snapchat,0
768,Michigan Technological University,Twitter,0
769,Michigan Technological University,None,0
770,Texas State University,Facebook,0
771,Texas State University,Instagram,1
772,Texas State University,Snapchat,0
773,Texas State University,Twitter,0
774,Texas State University,None,0
775,University of Tennessee at Chattanooga,Facebook,0
776,University of Tennessee at Chattanooga,Instagram,1
777,University of Tennessee at Chattanooga,Snapchat,0
778,University of Tennessee at Chattanooga,Twitter,0
779,University of Tennessee at Chattanooga,None,2
780,Seton Hall University,Facebook,0
781,Seton Hall University,Instagram,0
782,Seton Hall University,Snapchat,0
783,Seton Hall University,Twitter,1
784,Seton Hall University,None,1
785,Roger Williams University,Facebook,0
786,Roger Williams University,Instagram,0
787,Roger Williams University,Snapchat,0
788,Roger Williams University,Twitter,0
789,Roger Williams University,None,1
790,Elon University,Facebook,0
791,Elon University,Instagram,0
792,Elon University,Snapchat,0
793,Elon University,Twitter,0
794,Elon University,None,1
795,Emily Carr University of Art and Design,Facebook,0
796,Emily Carr University of Art and Design,Instagram,0
797,Emily Carr University of Art and Design,Snapchat,0
798,Emily Carr University of Art and Design,Twitter,1
799,Emily Carr University of Art and Design,None,0
800,United States Military Academy,Facebook,0
801,United States Military Academy,Instagram,1
802,United States Military Academy,Snapchat,0
803,United States Military Academy,Twitter,0
804,United States Military Academy,None,0
805,Indiana University of Pennsylvania,Facebook,0
806,Indiana University of Pennsylvania,Instagram,1
807,Indiana University of Pennsylvania,Snapchat,0
808,Indiana University of Pennsylvania,Twitter,0
809,Indiana University of Pennsylvania,None,1
810,University of Tampa,Facebook,1
811,University of Tampa,Instagram,0
812,University of Tampa,Snapchat,0
813,University of Tampa,Twitter,0
814,University of Tampa,None,0
815,Essex Technical High School,Facebook,0
816,Essex Technical High School,Instagram,1
817,Essex Technical High School,Snapchat,0
818,Essex Technical High School,Twitter,0
819,Essex Technical High School,None,0
820,University of North Carolina at Greensboro,Facebook,0
821,University of North Carolina at Greensboro,Instagram,1
822,University of North Carolina at Greensboro,Snapchat,0
823,University of North Carolina at Greensboro,Twitter,0
824,University of North Carolina at Greensboro,None,1
825,Pinnacle High School,Facebook,0
826,Pinnacle High School,Instagram,1
827,Pinnacle High School,Snapchat,0
828,Pinnacle High School,Twitter,0
829,Pinnacle High School,None,0
830,Baltimore City College,Facebook,0
831,Baltimore City College,Instagram,0
832,Baltimore City College,Snapchat,0
833,Baltimore City College,Twitter,0
834,Baltimore City College,None,1
835,New York University,Facebook,0
836,New York University,Instagram,0
837,New York University,Snapchat,0
838,New York University,Twitter,0
839,New York University,None,1
840,Indiana University-Purdue University Indianapolis,Facebook,0
841,Indiana University-Purdue University Indianapolis,Instagram,1
842,Indiana University-Purdue University Indianapolis,Snapchat,0
843,Indiana University-Purdue University Indianapolis,Twitter,0
844,Indiana University-Purdue University Indianapolis,None,0
845,Loyola Marymount University,Facebook,0
846,Loyola Marymount University,Instagram,1
847,Loyola Marymount University,Snapchat,0
848,Loyola Marymount University,Twitter,0
849,Loyola Marymount University,None,1
850,University of Dayton,Facebook,0
851,University of Dayton,Instagram,0
852,University of Dayton,Snapchat,0
853,University of Dayton,Twitter,0
854,University of Dayton,None,1
855,UMass Amherst,Facebook,1
856,UMass Amherst,Instagram,1
857,UMass Amherst,Snapchat,0
858,UMass Amherst,Twitter,0
859,UMass Amherst,None,0
860,Brock University,Facebook,0
861,Brock University,Instagram,1
862,Brock University,Snapchat,0
863,Brock University,Twitter,0
864,Brock University,None,0
865,Kutztown University,Facebook,0
866,Kutztown University,Instagram,0
867,Kutztown University,Snapchat,0
868,Kutztown University,Twitter,1
869,Kutztown University,None,0
870,University of Mississippi,Facebook,0
871,University of Mississippi,Instagram,1
872,University of Mississippi,Snapchat,0
873,University of Mississippi,Twitter,0
874,University of Mississippi,None,0
875,University of Mount Union,Facebook,0
876,University of Mount Union,Instagram,0
877,University of Mount Union,Snapchat,0
878,University of Mount Union,Twitter,0
879,University of Mount Union,None,1
880,Duke University,Facebook,0
881,Duke University,Instagram,0
882,Duke University,Snapchat,0
883,Duke University,Twitter,1
884,Duke University,None,1
885,Shippensburg University,Facebook,0
886,Shippensburg University,Instagram,0
887,Shippensburg University,Snapchat,0
888,Shippensburg University,Twitter,1
889,Shippensburg University,None,0
